,id.orig_p,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,label
0,41040,80,tcp,,3.139211,0.0,0.0,S0,0,S,3,180,0,0,Benign
1,41040,80,tcp,,,,,S0,0,S,1,60,0,0,Benign
2,41040,80,tcp,,,,,S0,0,S,1,60,0,0,Benign
3,41040,80,tcp,http,1.477656,149.0,128252.0,SF,2896,ShADadttcfF,94,5525,96,139044,Benign
4,41042,80,tcp,,3.147116,0.0,0.0,S0,0,S,3,180,0,0,Benign
5,41042,80,tcp,http,1.305004,151.0,128348.0,SF,5792,ShADadttcfF,96,5699,92,133140,Benign
6,41044,80,tcp,http,1.004605,148.0,91961.0,SF,2896,ShADadtcfF,67,4148,65,92453,Benign
7,41046,80,tcp,http,4.129647,148.0,99303.0,SF,5792,ShADadtcfF,75,4412,69,97107,Benign
8,41048,80,tcp,,3.114215,0.0,0.0,S0,0,S,3,180,0,0,Benign
9,41048,80,tcp,,,,,S0,0,S,1,60,0,0,Benign
10,41048,80,tcp,,,,,S0,0,S,1,60,0,0,Benign
11,123,123,udp,,0.001496,48.0,48.0,SF,0,Dd,1,76,1,76,Benign
12,41048,80,tcp,,,,,S0,0,S,1,60,0,0,Benign
13,41048,80,tcp,,,,,S0,0,S,1,60,0,0,Benign
14,123,123,udp,,0.001495,48.0,48.0,SF,0,Dd,1,76,1,76,Benign
15,41050,80,tcp,,3.158705,0.0,0.0,S0,0,S,3,180,0,0,Benign
16,41050,80,tcp,,,,,S0,0,S,1,60,0,0,Benign
17,41050,80,tcp,,,,,S0,0,S,1,60,0,0,Benign
18,123,123,udp,,,,,S0,0,D,1,76,0,0,Benign
19,41050,80,tcp,,,,,S0,0,S,1,60,0,0,Benign
20,123,123,udp,,0.001495,48.0,48.0,SF,0,Dd,1,76,1,76,Benign
21,123,123,udp,,,,,S0,0,D,1,76,0,0,Benign
22,41050,80,tcp,,,,,S0,0,S,1,60,0,0,Benign
23,123,123,udp,,0.014232,48.0,48.0,SF,0,Dd,1,76,1,76,Benign
24,41052,80,tcp,http,2.299441,151.0,164266.0,SF,5792,ShADadtctfF,114,6607,117,168910,Benign
25,48986,6667,tcp,,3.107733,0.0,0.0,S0,0,S,3,180,0,0,Malicious
26,41056,80,tcp,,3.136227,0.0,0.0,S0,0,S,3,180,0,0,Benign
27,41056,80,tcp,,,,,S0,0,S,1,60,0,0,Benign
28,41056,80,tcp,,,,,S0,0,S,1,60,0,0,Benign
29,123,123,udp,,0.001748,48.0,48.0,SF,0,Dd,1,76,1,76,Benign
30,41056,80,tcp,,,,,S0,0,S,1,60,0,0,Benign
31,41056,80,tcp,,,,,S0,0,S,1,60,0,0,Benign
32,123,123,udp,,,,,S0,0,D,1,76,0,0,Benign
33,123,123,udp,,0.11543,48.0,48.0,SF,0,Dd,1,76,1,76,Benign
34,123,123,udp,,,,,S0,0,D,1,76,0,0,Benign
35,41058,80,tcp,,3.158698,0.0,0.0,S0,0,S,3,180,0,0,Benign
36,41058,80,tcp,,,,,S0,0,S,1,60,0,0,Benign
37,123,123,udp,,,,,S0,0,D,1,76,0,0,Benign
38,41058,80,tcp,,,,,S0,0,S,1,60,0,0,Benign
39,123,123,udp,,0.068707,48.0,48.0,SF,0,Dd,1,76,1,76,Benign
40,41058,80,tcp,,,,,S0,0,S,1,60,0,0,Benign
41,40831,22,tcp,,502.919185,952.0,17192.0,SF,0,DdAtaFf,200,11444,184,28048,Benign
42,41058,80,tcp,,,,,S0,0,S,1,60,0,0,Benign
43,123,123,udp,,0.005231,48.0,48.0,SF,0,Dd,1,76,1,76,Benign
44,123,123,udp,,0.010235,48.0,48.0,SF,0,Dd,1,76,1,76,Benign
45,41060,80,tcp,,3.118724,0.0,0.0,S0,0,S,3,180,0,0,Benign
46,41060,80,tcp,http,1.22805,151.0,124067.0,SF,2896,ShADadttcfF,93,5571,92,131755,Benign
47,41064,80,tcp,,3.093744,0.0,0.0,S0,0,S,3,180,0,0,Benign
48,48998,6667,tcp,,3.097488,0.0,0.0,S0,0,S,3,180,0,0,Malicious
49,41064,80,tcp,,,,,S0,0,S,1,60,0,0,Benign
50,48998,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
51,41064,80,tcp,,,,,S0,0,S,1,60,0,0,Benign
52,49004,6667,tcp,,3.124484,0.0,0.0,S0,0,S,3,180,0,0,Malicious
53,123,123,udp,,0.001496,48.0,48.0,SF,0,Dd,1,76,1,76,Benign
54,49004,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
55,49006,6667,tcp,,3.122724,0.0,0.0,S0,0,S,3,180,0,0,Malicious
56,41064,80,tcp,,,,,S0,0,S,1,60,0,0,Benign
57,49006,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
58,49008,6667,tcp,,3.120734,0.0,0.0,S0,0,S,3,180,0,0,Malicious
59,49008,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
60,49010,6667,tcp,,3.118725,0.0,0.0,S0,0,S,3,180,0,0,Malicious
61,49010,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
62,49012,6667,tcp,,3.116726,0.0,0.0,S0,0,S,3,180,0,0,Malicious
63,41064,80,tcp,,,,,S0,0,S,1,60,0,0,Benign
64,49014,6667,tcp,,3.115707,0.0,0.0,S0,0,S,3,180,0,0,Malicious
65,49014,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
66,49016,6667,tcp,,3.113737,0.0,0.0,S0,0,S,3,180,0,0,Malicious
67,49016,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
68,49018,6667,tcp,,3.111728,0.0,0.0,S0,0,S,3,180,0,0,Malicious
69,49018,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
70,123,123,udp,,0.001498,48.0,48.0,SF,0,Dd,1,76,1,76,Benign
71,49020,6667,tcp,,3.109484,0.0,0.0,S0,0,S,3,180,0,0,Malicious
72,49020,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
73,49022,6667,tcp,,3.107231,0.0,0.0,S0,0,S,3,180,0,0,Malicious
74,49022,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
